Factor_Evidence_Map_ID,Factor_ID,Card_ID,Evidence_ID,Sort_Order,Is_Primary
FEM-0241,CTF-0049,CARD-0195,CEVID-0160,1,YES
FEM-0242,CEF-0049,CARD-0196,CEVID-0168,1,YES
FEM-0243,CCF-0050,CARD-0197,CEVID-0149,1,YES
FEM-0244,CCF-0050,CARD-0197,CEVID-0160,2,NO
FEM-0245,CPF-0050,CARD-0198,CEVID-0169,1,YES
FEM-0246,CTF-0050,CARD-0199,CEVID-0170,1,YES
FEM-0247,CEF-0050,CARD-0200,CEVID-0149,1,YES
FEM-0248,CCF-0051,CARD-0201,CEVID-0171,1,YES
FEM-0249,CCF-0051,CARD-0201,CEVID-0172,2,NO
FEM-0250,CPF-0051,CARD-0202,CEVID-0171,1,YES
FEM-0251,CPF-0051,CARD-0202,CEVID-0172,2,NO
FEM-0252,CTF-0051,CARD-0203,CEVID-0171,1,YES
FEM-0253,CEF-0051,CARD-0204,CEVID-0171,1,YES
FEM-0254,CCF-0052,CARD-0205,CEVID-0166,1,YES
FEM-0255,CCF-0052,CARD-0205,CEVID-0173,2,NO
FEM-0256,CPF-0052,CARD-0206,CEVID-0166,1,YES
FEM-0257,CPF-0052,CARD-0206,CEVID-0174,2,NO
FEM-0258,CTF-0052,CARD-0207,CEVID-0173,1,YES
FEM-0259,CEF-0052,CARD-0208,CEVID-0174,1,YES
FEM-0260,CCF-0053,CARD-0209,CEVID-0175,1,YES
FEM-0261,CCF-0053,CARD-0209,CEVID-0176,2,NO
FEM-0262,CPF-0053,CARD-0210,CEVID-0177,1,YES
FEM-0263,CTF-0053,CARD-0211,CEVID-0178,1,YES
FEM-0264,CEF-0053,CARD-0212,CEVID-0177,1,YES
FEM-0265,CCF-0054,CARD-0213,CEVID-0179,1,YES
FEM-0266,CCF-0054,CARD-0213,CEVID-0180,2,NO
FEM-0267,CPF-0054,CARD-0214,CEVID-0181,1,YES
FEM-0268,CTF-0054,CARD-0215,CEVID-0166,1,YES
FEM-0269,CEF-0054,CARD-0216,CEVID-0182,1,YES
FEM-0270,CCF-0055,CARD-0217,CEVID-0183,1,YES
FEM-0271,CCF-0055,CARD-0217,CEVID-0184,2,NO
FEM-0272,CPF-0055,CARD-0218,CEVID-0185,1,YES
FEM-0273,CTF-0055,CARD-0219,CEVID-0184,1,YES
FEM-0274,CEF-0055,CARD-0220,CEVID-0185,1,YES
FEM-0275,CCF-0056,CARD-0221,CEVID-0186,1,YES
FEM-0276,CCF-0056,CARD-0221,CEVID-0187,2,NO
FEM-0277,CPF-0056,CARD-0222,CEVID-0186,1,YES
FEM-0278,CTF-0056,CARD-0223,CEVID-0186,1,YES
FEM-0279,CEF-0056,CARD-0224,CEVID-0188,1,YES
FEM-0280,CCF-0057,CARD-0225,CEVID-0189,1,YES
FEM-0281,CCF-0057,CARD-0225,CEVID-0168,2,NO
FEM-0282,CPF-0057,CARD-0226,CEVID-0190,1,YES
FEM-0283,CPF-0057,CARD-0226,CEVID-0160,2,NO
FEM-0284,CTF-0057,CARD-0227,CEVID-0170,1,YES
FEM-0285,CEF-0057,CARD-0228,CEVID-0191,1,YES
FEM-0286,CCF-0058,CARD-0229,CEVID-0192,1,YES
FEM-0287,CCF-0058,CARD-0229,CEVID-0193,2,NO
FEM-0288,CPF-0058,CARD-0230,CEVID-0194,1,YES
FEM-0289,CPF-0058,CARD-0230,CEVID-0195,2,NO
FEM-0290,CTF-0058,CARD-0231,CEVID-0195,1,YES
FEM-0291,CEF-0058,CARD-0232,CEVID-0164,1,YES
FEM-0292,CCF-0059,CARD-0233,CEVID-0196,1,YES
FEM-0293,CPF-0059,CARD-0234,CEVID-0196,1,YES
FEM-0294,CPF-0059,CARD-0234,CEVID-0197,2,NO
FEM-0295,CTF-0059,CARD-0235,CEVID-0198,1,YES
FEM-0296,CEF-0059,CARD-0236,CEVID-0196,1,YES
FEM-0297,CCF-0060,CARD-0237,CEVID-0199,1,YES
FEM-0298,CCF-0060,CARD-0237,CEVID-0151,2,NO
FEM-0299,CPF-0060,CARD-0238,CEVID-0200,1,YES
FEM-0300,CPF-0060,CARD-0238,CEVID-0201,2,NO
FEM-0301,CTF-0060,CARD-0239,CEVID-0202,1,YES
FEM-0302,CEF-0060,CARD-0240,CEVID-0203,1,YES
FEM-0303,CCF-0061,CARD-0241,CEVID-0204,1,YES
FEM-0304,CCF-0061,CARD-0241,CEVID-0205,2,NO
